677509,Lois,Walker,F,Sales,$ 88050 ,lois.walker@hotmail.com,3/29/1981,60,,Very Good,303-572-8492,Denver,CO,80224
940761,Brenda,Robinson,F,Engineering, $68220  ,brenda.robinson@gmail.com,7/31/1970,60,,Good,225-945-4954,Stonewall,LA,71078
428945,Joe,Robinson,M,NULL,$118440 ,joe.robinson@gmail.com,6/16/1963,68,,Not Rated,219-904-2161,Michigantown,IN,46057
408351,Diane,Evans,F,Legal,$56370 ,diane.evans@yahoo.com,12-04-1977,51,,Very Good,215-793-6791,Hydetown,PA,16328
193819,Benjamin,Russell,M,Support,$107090 ,benjamin.russell@charter.net,4/17/1977,58,,Poor,262-404-2252,Fremont,WI,54940
499687,Patrick,Bailey,M,Support,$108450 ,patrick.bailey@aol.com,9/27/1982,58,,Poor,319-812-6957,Macksburg,IA,50155
539712,Nancy,Baker,F,Human Resources,$41160 ,nancy.baker@bp.com,6/13/1995,50,,Average,229-336-5117,Atlanta,GA,30334
380086,Carol,Murphy,F,Legal,$109000 ,carol.murphy@gmail.com,6/30/1958,40,,Very Good,216-336-0009,Blanchester,OH,45107
477616,Frances,Young,F,Services,,frances.young@gmail.com,06-09-1959,42,,Average,210-819-9765,Delmita,TX,78536
162402,Diana,Peterson,F,Support,$43020 ,diana.peterson@hotmail.co.uk,11/13/1987,60,,Average,479-783-5656,Eureka Springs,AR,72632
231469,Ralph,Flores,M,Business Development,$37800 ,ralph.flores@yahoo.com,02-05-1975,80,,Average,316-280-2864,Sabetha,KS,66534
153989,Jack,Alexander,M,Sales,$88380 ,jack.alexander@gmail.com,5/19/1995,61,,Average,702-603-3769,Las Vegas,NV,89170
386158,Melissa,King,F,Product Management,$84420 ,melissa.king@comcast.net,2/24/1972,55,,Average,216-605-3731,New Matamoras,OH,45767
301576,Wayne,Watson,M,Legal,$101760 ,wayne.watson@gmail.com,6/26/1996,87,,Good,701-231-9370,Maida,ND,58255
441771,Cheryl,Scott,F,Sales,$110780 ,cheryl.scott@gmail.com,2/23/1958,47,,Poor,215-288-9345,Quecreek,PA,15555
528509,Paula,Diaz,F,Human Resources,$68430 ,paula.diaz@gmail.com,8/22/1966,42,,Good,252-531-7641,Beulaville,NC,28518
912990,Joshua,Stewart,M,Training,$105370 ,joshua.stewart@yahoo.ca,5/18/1970,68,,Good,217-279-9342,New Douglas,IL,62074
214352,Theresa,Lee,F,Engineering,$113800 ,theresa.lee@gmail.com,12-05-1992,59,,Average,319-553-8919,Toeterville,IA,50481
890290,Julia,Scott,F,Sales,$76300 ,julia.scott@apple.com,7/15/1959,56,,Average,423-939-1010,Primm Springs,TN,38476
622406,Thomas,Lewis,M,Sales,$44530 ,thomas.lewis@gmail.com,10-04-1967,73,,Average,314-679-3697,Dutchtown,MO,63745
979607,Carol,Edwards,F,Legal,$63710 ,carol.edwards@msn.com,12/14/1994,56,,Average,225-283-4295,Shreveport,LA,71162
969580,Matthew,Turner,M,Product Management,$62780 ,matthew.turner@gmail.com,10/26/1993,56,,Very Good,236-972-7624,Heathsville,VA,22473
426038,Joan,Stewart,F,Training,$119750 ,joan.stewart@yahoo.com,11/20/1972,56,,Average,216-637-6800,Middleport,OH,45760
388642,Ruby,Rogers,F,Research and Development,$116980 ,ruby.rogers@gmail.com,05-01-1980,59,,Very Poor,423-231-6507,Woodbury,TN,37190
560455,Carolyn,Hayes,F,Accounting,$35940 ,carolyn.hayes@hotmail.co.uk,03-10-1958,53,,Good,239-882-8784,Saint Cloud,FL,34771
477253,Anne,Russell,F,Services,$109040 ,anne.russell@ibm.com,7/29/1989,60,,Average,605-635-1306,Stockholm,SD,57264
